,,,,,,,,,,,S&P500,Nasdaq,Overnight Index Swap Rate (USD),VIX Index
time,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
2017/10/19,0.013508443,-0.024295088,0.022027214,0.013270142,-0.019550934,-0.181321682,-0.014368291,0.401401401,-0.114082504,-0.014285714,0.00041,-0.00289,0.00161,-0.00199
2017/10/20,0.129211403,-0.015660972,0.051671887,-0.029934518,-0.014085423,-0.251167445,0.006869973,-0.178571429,-0.147077714,-0.026647966,0.00518,0.00366,0.00644,-0.00796
2017/10/21,-0.06852459,-0.009386059,0.002259261,-0.054966249,-0.01164709,0.118930958,-0.033283408,0.103478261,0.374246988,0.007204611,0.00000,0.00000,0.00000,0.00000
2017/10/22,-0.0249912,0.0138863,-0.00396061,0.036734694,-0.018427641,0.053343949,-0.027199174,-0.326241135,-0.140273973,-0.039580353,0.00000,0.00000,0.00000,0.00000
2017/10/23,-0.068592058,-0.044550663,-0.013246173,-0.005905512,-0.029792878,-0.087679516,-0.033268448,0.168421053,0.095602294,-0.04816286,-0.00395,-0.00637,0.00240,0.11033
2017/10/24,0.046899225,0.038514575,-0.06615105,0.04950495,0.039366214,0.052609776,0.017023613,0.111111111,0.076207097,0.063119457,0.00164,0.00177,0.00319,0.00813
2017/10/25,0.01480933,0.022541996,0.040071974,0.017924528,-0.000505902,-0.005509642,0.011339093,0.079279279,-0.04972973,-0.007360157,-0.00466,-0.00523,0.00318,0.00627
2017/10/26,-0.00985042,0.013257233,0.026789327,-0.017608897,-0.002733255,-0.101701622,-0.011389927,-0.166110184,-0.013083049,-0.001977261,0.00127,-0.00108,0.00397,0.00623
2017/10/27,-0.025055269,0.086311209,-0.020899822,-0.016981132,0.002774582,0,-0.009540954,-0.029029029,-0.017291066,-0.008915305,0.00807,0.02204,0.00197,-0.13274
2017/10/28,-0.021919879,0.144091745,-0.00658333,-0.026871401,-0.010156566,-0.095594714,-0.014540167,0.134020619,-0.090909091,-0.009495252,0.00000,0.00000,0.00000,0.00000
2017/10/29,0.095054096,0.083691039,0.073500727,0.16469428,0.036441111,-0.035070628,0.046661748,-0.004545455,-0.025483871,0.016649849,0.00000,0.00000,0.00000,0.00000
2017/10/30,0.007057163,-0.015445553,-0.003780386,-0.017781541,0.009077753,0.053003534,-0.009339207,-0.037442922,0.057596822,0.004466501,-0.00311,-0.00027,0.00039,0.07143
2017/10/31,0.069025929,-0.021239296,0.0533875,-0.00862069,-0.01029987,-0.087248322,-0.01280683,-0.10056926,-0.081064163,-0.024209486,0.00098,0.00433,0.00315,-0.03048
2017/11/01,-0.244837758,0.216772297,0.044416267,-0.02173913,-0.046831774,-0.162289916,-0.048108108,-0.273206751,-0.070163488,-0.036455696,0.00159,-0.00165,0.00471,0.00196
2017/11/02,-0.075954861,0.062108402,0.042600085,-0.004444444,-0.015548338,0.028213166,0.025742949,0.519593614,0.007326007,0.052548607,0.00030,-0.00022,0.00469,-0.02647
2017/11/03,0.058243307,0.112386503,0.01812291,0.011607143,0.068756142,0.025609756,0.033031925,0.013371538,-0.003636364,0.027958063,0.00319,0.00738,0.00389,-0.07956
2017/11/04,-0.026187306,-0.018816689,0.029596819,0.040600177,-0.014679321,0.046967895,-0.020543051,-0.020735156,-0.011678832,-0.021369597,0.00000,0.00000,0.00000,0.00000
2017/11/05,-0.056973564,0.018656595,0.003496836,-0.01187447,-0.014131449,-0.007950028,-0.004194784,-0.037536092,-0.016248154,-0.008933002,0.00000,0.00000,0.00000,0.00000
2017/11/06,0.056065732,-0.059195806,-0.058233587,-0.01888412,0.003448276,-0.040068689,-0.001831502,0.014,0.076201201,0.008012018,0.00135,0.00340,0.00233,0.02845
